Done;#;Title;Roud No;Status;Notes
;;;;;
;;Nursery Rhymes;;;
;1;Jack and Jill;10266;Well known;
;2;Humpty Dumpty;13026;Well known;
✓;3;Little Miss Muffet;20605;As Little Jack Horner;Or https://archive.org/details/ouroldnurseryrhy00moff/page/55/mode/1up
✓;4;Little Boy Blue;19703;Scored;
✓;5;Little Bo-Peep;6487;Scored;
✓;6;Mary Had a Little Lamb;7622;Scored;
✓;7;Old Mother Hubbard;19334;Spoken;
✓;8;Jack Sprat;19479;Spoken;
✓;9;Old King Cole;1164;Scored;
✓;10;I Saw a Ship A-Sailing;3742;Scored;
✓;11;I Had a Little Nut Tree;3749;Scored;
✓;12;Mary, Mary, Quite Contrary;19626;Scored;
✓;13;Simple Simon;19777;Scored;
✓;14;Little Jack Horner;13027;Scored;
;15;Sing a Song of Sixpence;13191;Well known;
✓;16;There Was an Old Woman;19132;Spoken;
✓;17;Doctor Foster;19712;Scored;
✓;18;Rub-a-dub-dub;3101;Spoken;
✓;19;Jack Be Nimble;13902;Spoken;
;20;Hey Diddle Diddle;19478;Well known;
✓;21;Little Tommy Tucker;19618;Scored;
;;;;;
;;Animal Rhymes;;;
✓;1;The Sparrow Steals the Cherry Ripe;—;Spoken;Birds, Beasts and Fishes (Ann Taylor)
✓;2;Donkey, Donkey, Old and Grey;—;Spoken;
✓;3;Two Little Dogs Sat By the Fire;19734;Spoken;
;4;Baa, Baa, Black Sheep;4439;Well known;
✓;5;Hickety, Pickety, My Black Hen;13043;Scored;
✓;6;Cackle, Cackle, Mother Goose;19732;Scored;
✓;7;Pussy Cat, Pussy Cat;15094;Scored;
;8;Hickory Dickory Dock;6489;Well known;Wikipedia
✓;9;Six Little Mice;14008;Scored;
;10;The Rats and Mice All Left the Mill;—;???;
;11;The Cats Went Out to Serenade;—;???;
✓;12;A Cat Came Fiddling;19786;Scored;
✓;13;Three Young Rats;19748;Scored;"Possibly from ""Ten Galloping Horses: Action Songs and Number Rhymes"""
✓;14;To Market, to Market;19708;Spoken;
✓;15;This Little Pig;19297;Spoken;
✓;16;There was an Owl;—;Scored;
✓;17;Croak! said the Toad;19670;Spoken;Could add Dany Rosevear: https://riverofsong.uk/wp-content/uploads/2025/04/Croak-said-the-toad.pdf
✓;18;Goosey, Goosey, Gander;6488/16225;Scored;
✓;19;Higglety, Pigglety, Pop!;20590;Scored;
✓;20;This Little Mousey Peeped Within;—;Spoken;
;21;Incy Wincy Spider;11586;;
;;;;;
;;Playtime Rhymes;;;
✓;1;Boys and Girls, Come Out to Play;5452;Scored;
✓;2;Georgie Porgie;19532;Scored;
✓;3;See-saw, Margery Daw;13028;Scored;
;4;Here We Go Round the Mulberry Bush;7882;Well known;
;5;Ring-a-ring o' Roses;7925;Well known;
;6;Pat-a-cake;6486;Well known;
✓;7;Dance to Your Daddy;2439;Scored;
;8;Ride, Baby, Ride;21159;???;
✓;9;I Love Little Pussy;12824;Scored;
;10;Polly, Put the Kettle On;7899;Well known;
✓;11;Rain, Rain, Go Away;19096;Spoken;
✓;12;One, Two, Buckle My Shoe;11284;Spoken;
✓;13;My Mother Said That I Never Should;13187;Scored;
✓;14;I Had a Little Castle Upon the Sand;19970;Spoken;
✓;15;Ride a Cock-horse to Banbury Cross;19639/21143;Scored;
✓;16;Smiling Girls, Rosy Boys;32144;Spoken;
;17;What Shall You Buy?;—;???;
✓;18;I Took My Dolly For a Walk;—;Spoken;
✓;19;Hush, Baby, My Dolly;—;Spoken;
✓;20;Tom, Tom, the Piper's Son (He Learned to Play);19621;Scored;
;21;Oranges and Lemons;13190;Well known;Broadside Band
;;;;;
;;Bedtime Rhymes;;;
✓;1;Come to the Window;—;Scored;
✓;2;Star Light, Star Bright;16339;Scored;
;3;Twinkle, Twinkle, Little Star;7666;Well known;Wikipedia
✓;4;I See the Moon;19690;Scored;
✓;5;The Man in the Moon;—;Scored;
✓;6;Early to Bed;—;Spoken;
✓;7;How Many Miles to Babylon?;8148;Scored;Also Gillington, Old Isle of Wight Singing Games (1909) pp.12-13 <https://ks15.imslp.org/files/imglnks/usimg/f/f0/IMSLP284859-SIBLEY1802.13812.13ca-39087012500759isle.pdf>
✓;8;Bossy-cow, Bossy-cow;—;Scored;
✓;9;Golden Slumbers;V18438;Scored;
;10;Rock-a-bye, Baby, in the Treetop!;2768;;https://en.wikisource.org/wiki/The_Child%27s_Own_Music_Book/Rock-a-Bye,_Baby
;11;If My Boy Sleeps Quietly (French Cradle Song);—;???;
✓;12;Rock-a-bye, Baby, Thy Cradle is Green;19811;Scored;
;13;The Mocking Bird;470;Well known;
✓;14;Wee Willie Winkie;13711;Scored;Change title
✓;15;Diddle, Diddle, Dumpling;19709;Scored;
✓;16;To Bed! To Bed!;13063;Scored;
✓;17;A Glass of Milk;—;Scored;
✓;18;Up the Wooden Hill;—;Spoken;
✓;19;And Now, Good Night;—;Spoken;
;;;;;
;;;;;Notes
;;;;;https://en.wikisource.org/wiki/The_Baby%27s_Opera_(1900)
;;;;;https://en.wikisource.org/wiki/The_Child%27s_Own_Music_Book
;;;;;https://archive.org/details/75britishnursery00moff/page/n4/mode/1up
;;;;;https://archive.org/details/ouroldnurseryrhy00moff/n8
